Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
KUMON INSTITUTO DE EDUCACION DE COLOMBIA LTDA,0.127328383,0.009903,0.084594,0.123586,0.042423,0,3.216029,0
LA CASA DEL AGRO MCU S.A.S,0.025214859,0.004563,0.012398,0.133217,0.212015,0,0.410148,0
LA GAITANA FARMS SAS,0.008587874,0.026859,-0.000285,0.132522,0.16195,0,0.627858,0
LA TRONCAL SAS,0.033079048,0,0.027155,0.036429,0.039864,0,4.259652,0
LAN SECURITY NETWORKS SAS,0.041999298,0,0.022773,0.27574,0.230642,1.229192,0.479956,0
LATCOM S.A.,-0.022211211,0.012483,-0.012625,0.271744,0.203529,0,1.12884,0
LATIR EXPERIENCES SAS,0.099741128,0.055968,0.023105,0.176757,0.147929,0.622223,0.096799,0
LECHECOL ZF SAS,0.07865461,0.023666,0.043271,0.206409,0.218512,1.887946,0.486661,0
LINERO ASOCIADOS COMPAÑIA ALBERGUE SA,0.031535472,0.016919,0.006098,0.005108,0.033341,1.817588,1.913951,0
LLANTAS DRT SAS,0.024859665,0,0.02973,0.317798,0.011019,0.05562,0.420668,0
LOGISINU SAS ZOMAC,0.028406877,0.014304,0.007233,0.007686,0.010826,0,0.753601,0
LUBRIXEL SAS,0.021741146,0.005671,0.011313,0.132836,0.087602,1.130604,1.308025,0
LUCANO DOTACIONES INDUSTRIALES SAS,0.185711118,0.046129,0.090292,0.510051,0.214172,0.247073,0.515714,0
LYDCO INGENIERIA SAS,0.153015987,0,0.102232,0.30675,0.220228,0,2.451058,0
La Nueva Vision del Agro S.A.S.,0.025215403,0.01739,0.013513,0.27426,0.336289,0.268324,0.2584,0
La Septima distribuciones agropecuarias,0.008287875,0,0.008291,0.179075,0.129344,0.293622,0.870045,0
MACOSER SA,0.01940725,0,0.020071,0.128368,0.175064,0.100624,0.346175,0
MASTERDENT SAS,0.063782404,0.035771,0.022564,0.263247,0.067535,0.192824,0.931715,0
MAXILLANTAS LTDA,0.052666175,0,0.032809,0.123186,0.193794,0.465068,0.154057,0
MAYA Y BEDOYA LTDA,0.035243912,0.000145,0.022837,0.065421,0.104387,0,1.56182,0
MAYOR POSSO Y CIA SAS,0.091563161,0.01138,0.050526,0.403101,0,0.241795,0.737137,0
MEJIA ACEVEDO S.A.S,0.037301125,0.023036,0.009876,0.158446,0.037689,0.233992,0.712679,0
